date,time,symbol,group,rank,score,price,is_live_adjusted
2026-05-28,21:04:30,CII,THEO DÕI,0,0.0,17450.0,True
2026-05-28,21:04:30,MWG,THEO DÕI,0,0.0,77700.0,True
2026-05-28,21:04:30,SIP,THEO DÕI,0,0.0,51300.0,True
2026-05-28,21:04:30,VCG,THEO DÕI,0,0.0,20600.0,True
2026-05-28,21:04:30,GEE,THEO DÕI,0,0.0,107800.0,True
2026-05-28,21:04:30,DIG,THEO DÕI,0,0.0,13500.0,True
2026-05-28,21:04:30,NHA,THEO DÕI,0,0.0,11750.0,True
2026-05-28,21:04:30,SZC,THEO DÕI,0,0.0,24300.0,True
2026-05-28,21:04:30,VRE,THEO DÕI,0,0.0,32250.0,True
2026-05-28,21:04:30,KBC,THEO DÕI,0,0.0,30600.0,True
2026-05-28,21:04:30,DGC,THEO DÕI,0,0.0,47600.0,True
2026-05-28,21:04:30,TCH,THEO DÕI,0,0.0,15450.0,True
2026-05-28,21:04:30,FRT,THEO DÕI,0,0.0,131000.0,True
2026-05-28,21:04:30,CTD,THEO DÕI,0,0.0,72200.0,True
2026-05-28,21:04:30,HHS,THEO DÕI,0,0.0,11400.0,True
2026-05-28,21:04:30,TV2,THEO DÕI,0,0.0,29900.0,True
2026-05-28,21:04:30,NVL,THEO DÕI,0,0.0,15050.0,True
2026-05-28,21:04:30,BFC,THEO DÕI,0,0.0,56900.0,True
2026-05-29,10:27:33,MSB,GÀ TĂNG TỐC,7,10.0,15050.0,True
2026-05-29,10:27:33,VND,GÀ TĂNG TỐC,7,9.0,17350.0,True
2026-05-29,10:27:33,TVN,GÀ TĂNG TỐC,7,9.0,11900.0,False
2026-05-29,10:27:33,ACB,GÀ TĂNG TỐC,7,9.0,24950.0,True
2026-05-29,10:27:33,DHA,GÀ TĂNG TỐC,7,6.0,48950.0,True
2026-05-29,10:27:33,VHM,CP MẠNH,6,6.0,159000.0,True
2026-05-29,10:27:33,OCB,CP MẠNH,6,6.0,11700.0,True
2026-05-29,10:27:33,HSG,PULL VỪA,3,6.0,12500.0,True
2026-05-29,10:27:33,NTP,PULL VỪA,3,5.0,60100.0,False
2026-05-29,10:27:33,VTO,PULL VỪA,3,5.0,12200.0,True
2026-05-29,10:27:33,LPB,PULL VỪA,3,3.0,52800.0,True
2026-05-29,10:27:33,BSI,MUA EARLY,2,6.0,35300.0,True
2026-05-29,10:27:33,VIB,MUA EARLY,2,5.0,16250.0,True
2026-05-29,10:27:33,BVS,MUA EARLY,2,5.0,26400.0,False
2026-05-29,10:27:33,PAC,MUA EARLY,2,5.0,22700.0,True
2026-05-29,10:27:33,VPB,MUA EARLY,2,5.0,27350.0,True
2026-05-29,10:27:33,PC1,MUA EARLY,2,4.0,19100.0,True
2026-05-29,10:27:33,PET,MUA EARLY,2,4.0,48300.0,True
2026-05-29,10:27:33,SHS,MUA EARLY,2,4.0,18000.0,False
2026-05-29,10:27:33,MBS,MUA EARLY,2,4.0,19900.0,False
2026-05-29,10:27:33,FTS,MUA EARLY,2,4.0,24000.0,True
2026-05-29,10:27:33,VDS,MUA EARLY,2,4.0,13850.0,True
2026-05-29,10:27:33,VCB,MUA EARLY,2,3.0,62600.0,True
2026-05-29,10:27:33,SSB,MUA EARLY,2,3.0,14050.0,True
2026-05-29,10:27:33,POW,MUA EARLY,2,3.0,13850.0,True
2026-05-29,10:27:33,TPB,MUA EARLY,2,3.0,15900.0,True
2026-05-29,10:27:33,HAX,MUA EARLY,2,3.0,10000.0,True
2026-05-29,10:27:33,BCM,TÍCH LŨY,1,2.0,53700.0,True
2026-05-29,10:27:33,NAB,TÍCH LŨY,1,2.0,12150.0,True
2026-05-29,10:27:33,CMG,TÍCH LŨY,1,2.0,27650.0,True
2026-05-29,10:27:33,NTL,TÍCH LŨY,1,2.0,16150.0,True
2026-05-29,10:27:33,GEX,TÍCH LŨY,1,2.0,33050.0,True
2026-05-29,10:27:33,VPL,TÍCH LŨY,1,2.0,91400.0,True
2026-05-29,10:27:33,CTR,TÍCH LŨY,1,2.0,88600.0,True
2026-05-29,10:27:33,VGI,TÍCH LŨY,1,2.0,93500.0,False
2026-05-29,10:27:33,PAN,TÍCH LŨY,1,2.0,24850.0,True
2026-05-29,10:27:33,AGR,TÍCH LŨY,1,2.0,14600.0,True
2026-05-29,10:27:33,TCB,TÍCH LŨY,1,2.0,32950.0,True
2026-05-29,10:27:33,NLG,TÍCH LŨY,1,2.0,26400.0,True
2026-05-29,10:27:33,LSS,TÍCH LŨY,1,2.0,8280.0,True
2026-05-29,10:27:33,DPR,TÍCH LŨY,1,2.0,41600.0,True
2026-05-29,10:27:33,IDC,TÍCH LŨY,1,2.0,43400.0,False
2026-05-29,10:27:33,PVS,TÍCH LŨY,1,2.0,38700.0,False
2026-05-29,10:27:33,AAA,TÍCH LŨY,1,2.0,7060.0,True
